name,SiO2,FeO,MgO,NiO,MnO,Al2O3,CaO,total
PI032-01-04,38.4953,16.0033,44.4283,0.168422,0.232958,0.040249,0.250944,99.61947
PI032-02-01,37.8769,15.9098,44.3207,0.178717,0.225693,0.018274,0.243341,98.77342
PI032-02-03,38.04,15.8851,44.249,0.181972,0.232036,0.012135,0.251493,98.85174
PI032-03-01,38.278,15.6225,44.4295,0.167173,0.220208,0.018356,0.252743,98.98849
PI032-04-01,38.2048,15.9814,44.194,0.172665,0.234256,0.005229,0.240552,99.032906
PI032-04-02,38.6385,15.8984,43.4674,0.188024,0.219599,-0.00731,0.234622,98.63924
PI032-04-03,38.792,16.0884,43.306,0.166967,0.220275,0.000443,0.247133,98.82122
PI032-05-01,39.0559,18.0806,40.472,0.143923,0.255446,0.046321,0.227728,98.28192
PI041-02-01,37.5832,20.7113,41.1488,0.106916,0.287438,0.023964,0.226525,100.08814
PI041-02-02,37.2701,20.8159,41.0151,0.104744,0.293681,0.016547,0.214939,99.731