phase,temperature,a,b,c,d,e,f,g,h,i
Fe_fcc,low,-236.7,132.416,-24.6643,0,-0.0038,-5.893E-08,77359,0,0
Fe_bcc-alpha,low,1225.7,124.134,-23.5143,0,-0.004398,-5.89E-08,77359,0,0
Fe_HCP,low,-2480.08,136.725,-24.6643,0,-0.00375752,-5.89E-08,77358.5,0,0
Fe_bcc-delta,low,5970.7,124.134,-23.5143,0,-0.00439752,-5.89E-08,77358.5,0,0
Fe_liquid,low,13265.87,117.57557,-23.5143,0,-0.00439752,-5.89E-08,77358.5,0,0
FeO,low,-285203.5,274.2455,-49.19444,574.4469,-0.004678477,0,297568.8,0,0
FeO1.5,low,-523138,73.37019,-26.96809,25471.09,-0.008836071,0,1498519,0,0
O2,low,-13137.52,25.32003,-33.627,0,-0.00119159,1.356E-08,525809.556,0,0
Fe_fcc,high,-27097.396,300.253,-46,0,0,0,0,0,-2.78854E+31
Fe_bcc-alpha,high,-25383.581,299.313,-46,0,0,0,0,0,2.29603E+31
Fe_HCP,high,-29340.78,304.562,-46,0,0,0,0,0,2.78854E+31
Fe_bcc-delta,high,-20638.581,299.313,-46,0,0,0,0,0,2.29603E+31
Fe_liquid,high,-10838.83,291.302,-46,0,0,0,0,0,0
FeO,high,-285203.5,274.2455,-49.19444,574.4469,-0.004678477,0,297568.8,0,0
FeO1.5,high,-523138,73.37019,-26.96809,25471.09,-0.008836071,0,1498519,0,0
O2,high,-13137.52,25.32003,-33.627,0,-0.00119159,1.356E-08,525809.556,0,0